folioviv,combustible2,estufa3,electricidad,refri,radio_tv,telefono4
100913205,0,0,0,0,0,0
100913206,0,0,0,0,0,0
100914302,0,0,0,1,0,0
100914303,0,0,0,0,0,0
100914304,0,0,0,0,0,0
100914305,0,0,0,0,0,0
100914306,0,0,0,0,0,0
100920801,0,0,0,0,0,0
100920802,0,0,0,0,0,0
100920803,0,0,0,0,0,0
100920806,0,0,0,0,0,0
100925401,0,0,0,0,0,0
100925402,0,0,0,0,0,0
100925403,0,0,0,0,0,0
100925404,0,0,0,0,0,0
100925406,0,0,0,0,0,0
100932702,0,0,0,0,0,0
100932703,0,0,0,0,0,0
100932704,0,0,0,0,0,0
100937901,0,0,0,0,0,0
100937902,0,0,0,0,0,0
100937903,0,0,0,0,0,0
100937904,0,0,0,0,0,0
100937905,0,0,0,0,0,0
100937906,0,0,0,0,0,0
100939502,0,0,0,0,0,0
100939504,0,0,0,0,0,0
100939505,0,0,0,0,0,0
100939506,0,0,0,0,0,0
100943601,0,0,0,0,0,0
100943602,0,0,0,0,0,0
100943603,0,0,0,0,0,0
100943606,0,0,0,0,0,0
100960002,0,0,0,0,0,0
100960005,0,0,0,0,0,0
100974202,0,0,0,0,0,0
100974203,0,0,0,0,0,0
100974204,0,0,0,0,0,0
100974205,0,0,0,1,0,0
100977302,0,0,0,0,0,0
100977303,0,0,0,0,0,0
100977304,0,0,0,0,0,0
100977305,0,0,0,0,0,0
100977306,0,0,0,0,0,0
100993801,0,0,0,0,0,0
100993802,0,0,0,0,0,0
100993803,0,0,0,0,0,0
100993804,0,0,0,0,0,0
100993805,0,0,0,0,0,0
100993806,0,0,0,0,0,0
100995402,0,0,0,0,0,0
100995403,0,0,0,0,0,0
100995404,0,0,0,0,0,0
100995405,0,0,0,0,0,0
100998701,0,0,0,0,0,0
100998702,0,0,0,0,0,0
100998703,0,0,0,0,1,0
100998704,0,0,0,0,0,0
100998705,0,0,0,1,0,0
100998706,0,0,0,0,0,0
101000902,0,0,0,0,0,0
101000903,0,0,0,0,0,0
101000905,0,0,0,0,0,0
101000906,0,0,0,0,0,0
101005501,0,0,0,0,0,0
101005502,0,0,0,0,0,0
101005503,0,0,0,0,0,0
101005504,0,0,0,0,0,0
101005505,0,0,0,0,0,0
101005506,0,0,0,0,0,0
101017601,0,0,0,0,0,0
101017602,0,0,0,0,1,0
101017603,0,0,0,0,0,0
101017605,0,0,0,0,0,0
101017606,0,0,0,0,0,0
101035001,0,0,0,0,0,0
101035002,0,0,0,0,0,0
101035003,0,0,0,0,0,0
101035004,0,0,0,0,0,0
101035005,0,0,0,0,0,0
101035006,0,0,0,0,0,0
101071201,0,0,0,0,0,0
101071202,0,0,0,0,0,0
101071204,0,0,0,0,0,1
101071205,0,0,0,0,0,0
101071206,0,0,0,0,0,0
101089302,0,0,0,0,0,0
101089303,0,0,0,0,0,0
101089304,0,0,0,0,0,0
101089305,0,0,0,0,0,0
101089306,0,0,0,0,0,0
101094801,0,0,0,0,0,0
101094802,0,0,0,0,0,0
101094803,0,0,0,0,0,0
101094804,0,0,0,0,0,0
101094805,0,0,0,0,0,0
101094806,0,0,0,0,0,0
101107401,0,0,0,0,0,0
101107402,0,0,0,0,0,0
101107404,0,0,0,0,0,0
101107405,0,0,0,0,0,0
101123701,0,0,0,0,0,0
101123702,0,0,0,0,0,0
101123703,0,0,0,0,0,0
101123704,0,0,0,0,0,0
101123705,0,0,0,0,0,0
101137901,0,0,0,1,0,0
101137903,0,0,0,0,0,0
101137904,0,0,0,0,0,0
101137905,0,0,0,0,0,0
101137906,0,0,0,0,0,0
101165501,0,0,0,0,0,0
101165502,0,0,0,0,0,0
101165504,0,0,0,0,0,0
101165505,0,0,0,0,0,0
101165506,0,0,0,0,0,0
101179601,0,0,0,0,0,0
101179602,0,0,0,0,0,0
101179603,0,0,0,0,0,0
101179604,0,0,0,0,0,0
101179605,0,0,0,0,0,0
101179606,0,0,0,0,0,0
101183001,0,0,0,0,0,0
101183002,0,0,0,0,0,0
101183004,0,0,0,0,0,0
101183005,0,0,0,0,0,0
101183006,0,0,0,0,0,0
101188201,0,0,0,0,0,0
101188202,0,0,0,0,0,0
